t,med_1424,med_1389,med_1408,med_1422,med_1378
0,59.77619934,59.81478338,59.76729965,59.92380142,59.77939987
0.1,59.75839996,59.81809654,59.76929855,59.90729904,59.77890015
0.2,59.77659988,59.80467181,59.77140045,59.88819885,59.77569962
0.3,59.77880096,59.80120585,59.77470016,59.8689003,59.77149963
0.4,59.78509903,59.78696226,59.78120041,59.84880066,59.76929855
0.5,59.78820038,59.77716909,59.78210068,59.82839966,59.76789856
0.6,59.79270172,59.77233505,59.79050064,59.81060028,59.76940155
0.7,59.80500031,59.76449837,59.79930115,59.79470062,59.77270126
0.8,59.80709839,59.76315513,59.80690002,59.7818985,59.77819824
0.9,59.82569885,59.76287742,59.81380081,59.77109909,59.7867012
1,59.82049942,59.77381572,59.81389999,59.76190186,59.79930115
1.1,59.82519913,59.78929894,59.81800079,59.75559998,59.81240082
1.2,59.82920074,59.80381654,59.82320023,59.74890137,59.82789993
1.3,59.8362999,59.82148634,59.82789993,59.74380112,59.84270096
1.4,59.81600189,59.83881037,59.8307991,59.73709869,59.8567009
1.5,59.81309891,59.84817076,59.82580185,59.73020172,59.86700058
1.6,59.81560135,59.86656819,59.82189941,59.72480011,59.87200165
1.7,59.81200027,59.8735811,59.82310104,59.71549988,59.86790085
1.8,59.81679916,59.85943568,59.82329941,59.71609879,59.86220169
1.9,59.80279922,59.85471717,59.81809998,59.71780014,59.85070038
2,59.81029892,59.83712487,59.80979919,59.7242012,59.83670044
2.1,59.80860138,59.82963103,59.80170059,59.73329926,59.82080078
2.2,59.77780151,59.81348356,59.79779816,59.74489975,59.80239868
2.3,59.80149841,59.78303563,59.79570007,59.76210022,59.78649902
2.4,59.79079819,59.77697048,59.79199982,59.77949905,59.77130127
2.5,59.78409958,59.75651543,59.7818985,59.79880142,59.75859833
2.6,59.78590012,59.75316896,59.77470016,59.81819916,59.74649811
2.7,59.76399994,59.74534909,59.77230072,59.83940125,59.74039841
2.8,59.77310181,59.73809801,59.76919937,59.85620117,59.73630142
2.9,59.77750015,59.74306469,59.76760101,59.8669014,59.73749924
3,59.76620102,59.74944341,59.76089859,59.87390137,59.73910141
3.1,59.75849915,59.75588827,59.75540161,59.87490082,59.74399948
3.2,59.7621994,59.76652875,59.75310135,59.87210083,59.75090027
3.3,59.74890137,59.77859859,59.75170135,59.86500168,59.75370026
3.4,59.75180054,59.77580075,59.75579834,59.85290146,59.75930023
3.5,59.75740051,59.78021476,59.75559998,59.84009933,59.76160049
3.6,59.75899887,59.78166171,59.75460052,59.82540131,59.76340103
3.7,59.76070023,59.78225899,59.75859833,59.80929947,59.76369858
3.8,59.76169968,59.77484995,59.76449966,59.79529953,59.76459885
3.9,59.77109909,59.76923173,59.77410126,59.78070068,59.7641983
4,59.77970123,59.7592031,59.78269958,59.76860046,59.76869965
4.1,59.78310013,59.76075714,59.78279877,59.76039886,59.76919937
4.2,59.79449844,59.76001424,59.78950119,59.75270081,59.77270126
4.3,59.81219864,59.7609483,59.79489899,59.74629974,59.78129959
4.4,59.79320145,59.7741228,59.80279922,59.74309921,59.79000092
4.5,59.8117981,59.77121258,59.80659866,59.73989868,59.79880142
4.6,59.80220032,59.78863763,59.80519867,59.73989868,59.8103981
4.7,59.80989838,59.80299932,59.80690002,59.73970032,59.82109833
4.8,59.79990005,59.81847214,59.80709839,59.7397995,59.83039856
4.9,59.79370117,59.82751059,59.81060028,59.73929977,59.83390045
5,59.80490112,59.82552505,59.80720139,59.73960114,59.83800125
5.1,59.7983017,59.84043939,59.8030014,59.74000168,59.83319855
5.2,59.79660034,59.82991806,59.79579926,59.7419014,59.82759857
5.3,59.78540039,59.83045168,59.79150009,59.7466011,59.81669998
5.4,59.79140091,59.81303997,59.79019928,59.75320053,59.80630112
5.5,59.78850174,59.80426921,59.78839874,59.76300049,59.7942009
5.6,59.77890015,59.78858294,59.78319931,59.7737999,59.77949905
5.7,59.78590012,59.77208194,59.77780151,59.78570175,59.76710129
5.8,59.78300095,59.7653669,59.77470016,59.80039978,59.75640106
5.9,59.79130173,59.754199,59.7765007,59.81399918,59.74760056
